R,G,B,x,y
195.81,161.34,142.43,303.57,125.55
112.92,131.69,150.7,392.35,380.18
176.68,49.66,57.967,381.28,107.55
144.13,36.266,66.335,454.08,290.48
228.66,182.61,163.74,213.13,352.07
227.99,209.02,208.23,195.05,217.95
127.66,200.39,155.88,516.55,170.67
125.95,37.155,40.497,457.1,278.23
166.13,160.69,105.63,471.15,167.96
217.56,109.56,75.444,391.27,139.72
227.07,189.25,153.93,367.15,170.89
157.61,66.828,58.296,96.021,157.79
249.2,249.23,241.22,279.79,316.04
152.89,185.01,75.901,313.85,408.88
110.92,159.37,103.21,406.84,210.22
254.99,254.99,254.99,294.73,238.88
152.93,195.6,183.76,208.32,102.69
208.56,202.04,174.02,347.76,221.36
124.91,113.46,99.403,540.92,224.86
218.09,186.55,166.31,345.09,189.96
255,255,255,248.37,243.01
227.82,185.58,145.76,371.46,165.79
255,255,255,233.08,244.93
223.51,228.8,234.53,325.33,305.75
220.58,126.28,81.842,391.89,144.59
255,255,255,288.91,271.95
218.05,190.58,175.09,157.51,216.1
23.133,119.92,64.101,440.23,219.71
200.86,178.6,176.98,341.95,148.41
210.34,198.76,169.39,370.84,245.05
222.8,195.1,181.62,339.12,183.93
163.54,104.77,83.211,413.15,257.36
212.27,176.08,166.12,353.46,158.97
255,255,255,266.54,242.78
216.62,177.29,159.01,385.56,274.69
248.48,244.77,244.14,319.37,271.6
234.97,226.92,220.22,205.93,285.79
196.33,192.33,177.44,151.02,243.68
204.77,165.03,138.51,287.93,131.76
226.12,194.17,178.7,237.56,351.29
255,255,255,264.86,254.62
44.863,155.34,92.919,477.89,196.18
195.09,188.19,170.51,238.13,138.48
154.62,185.86,143.92,493.81,167.67
127.16,103.05,85.474,92.95,120.81
253.25,253.24,253.3,254.42,198.07
243.79,247.36,245.85,262.24,185.32
70.302,143.92,87.336,418.47,220.2
155.57,177.67,178.57,196.16,107.23
207.03,185.55,154.53,378.73,252.5
248.61,246.56,247.37,314.02,290.11
210.31,202.42,173.93,368.43,241.1
82.325,60.88,40.974,461.29,238.41
116.99,170.86,200.52,395.75,345.13
171.15,65.474,62.701,35.753,186.56
202.41,137.66,136.15,402.27,287.11
255,255,255,290.02,261.83
195.22,129.83,123.11,404.72,281.16
118.37,146.17,170.58,183.43,96.226
144.02,61.068,55.169,510.92,249.23
255,255,255,295.73,265.3
243.82,247.01,248.71,207.83,245.06
255,255,255,286.15,266.61
226.7,229.44,218.19,332.13,246.68
202.82,174.18,144.67,384.55,255
227.82,189.49,151.23,368.53,171.3
208.08,204.25,179.04,345.86,226.91
240.28,245.93,246.03,211.59,258.64
209.97,197.82,176.28,358.04,255.01
191.75,42.713,128.21,484.29,326.52
217.93,219.02,199.98,334.64,228.38
255,255,255,291.43,265.12
247.72,240.52,241.42,214.19,228.82
220.01,218.28,201.99,344.63,247.18
246.43,246.58,242.76,261.94,312.28
198.34,158.09,148.37,341.35,114.6
232.87,232.31,217.77,323.61,213.79
250.65,251.54,250.04,308.52,257.35
255,255,255,231.26,254.32
204.59,174.62,169.38,347.7,157.49
231.83,212.78,193.67,248.52,334.59
254.6,253.75,253.76,247.74,298.08
204.88,181.48,180.87,333.42,163.76
144.6,94.701,101.11,344.41,89.686
246.57,249.83,249.82,215.46,256.26
55.587,137.17,79.937,423.65,220.49
33.773,102.12,88.325,61.72,285.66
252.32,250.75,250.48,312.84,271.04
220.47,198.64,172.89,352.43,206.6
219.83,202.18,189.7,193.76,295.81
237.5,242.78,246.26,317.01,298.17
235.77,240.03,239.48,251.38,182.52
230.27,233.34,224.07,326.81,247.08
254.97,254.97,254.97,231.96,229.27
132.6,45.622,39.979,544.48,270.14
248.72,245.15,234.71,288.89,318.97
98.632,151.19,85.963,419.03,200.41
153.42,100.07,77.829,416.11,254.16
246.11,246.31,242.24,262.3,312.55
251.14,252.55,252.35,219.67,260.74
250.57,250.8,249.18,261.4,306.61
186.9,157.17,128.1,394.44,250.21
225.3,155.96,108.48,383.5,152.94
212.71,194.65,189.93,294.02,156.77
252.31,252.97,252.52,270.79,193.67
254.22,254.31,254.27,221.23,243.02
170.6,222.72,192.07,578.6,149.11
185.32,183.03,147.65,383.12,233.9
204.25,152.29,135.13,395.61,274.14
194.37,162.25,145.88,307.33,127.46
242.42,246.73,249.02,313.36,296.3
255,255,255,264.85,262.85
254.86,254.9,254.9,226.5,255.53
208.87,202.49,202.22,342.99,322.45
231.11,237.56,235.35,254.81,178.59
153.17,153.9,82.875,408.42,191.02
217.72,200.86,172.67,353.46,210.38
207.06,197.49,195.43,364.53,307.07
226.12,194.44,176.54,240.64,349.73
255,255,255,273.94,276.05
250.99,240.34,241.18,224.06,300.45
199.6,154.79,129.84,391.79,262.6
165.46,81.404,113.61,495.47,298.42
230.72,240.08,241.59,204.01,253.65
227.4,185.21,183.35,218.47,329.65
255,255,255,272.56,212.47
249.83,251.36,250.6,265.92,190.65
206.12,175.44,155.07,327.38,116.84
135.23,58.281,62.943,481.48,283.44
255,255,255,268.02,221.62
254.94,254.96,254.94,228.62,266.98
189.88,190.52,178.9,243.43,151.14
97.025,100.13,154.77,443.17,349.94
140.5,58.604,52.578,503.44,249.29
62.099,168.48,108.27,498.46,188.26
254.98,254.98,254.98,269.52,207.93
180.99,158.45,100.1,469.89,164.73
93.28,59.415,83.899,364.13,80.642
254.88,254.56,254.56,229.56,236.69
255,255,255,276.01,260.53
210,173.69,148.25,282.18,136.92
26.076,100.46,82.195,62.838,294.59
190.87,178.7,146.8,386.72,241.79
210.83,176.91,127.83,340.73,381.05
225.2,186.5,136.68,373.7,176.72
179.45,106.3,98.184,412.86,276.92
214.49,201.86,182.92,206.13,128.62
201.12,158.34,153.73,345.08,128.04
91.023,115.94,141.35,101.43,225.55
195.45,164.64,95.216,392.56,184.27
255,255,255,248.42,242.27
255,255,255,270.16,253.86
161.15,73.959,75.375,424.8,279.42
196.22,175.78,165.16,198.22,168.02
78.436,137.14,85.391,418.05,224.28
207.55,207.34,194.96,263.36,158.72
87.1,85.946,64.414,498.37,228.57
254.77,254.69,254.5,299.3,236.77
111.57,146.47,74.122,424.07,193.12
152.56,184.07,186.37,374.52,356.77
207.18,112.59,165.74,515.3,311.49
178.13,202.86,186.24,214.8,109.81
194.13,192.4,189.68,217.59,176.42
243.64,242.2,241.47,283.77,177.59
240.95,245.2,243.52,257.99,183.8
255,255,255,248.06,232.58
135.86,62.341,76.326,340.3,68.305
218.12,196.72,193.71,355.82,292.56
22.421,134.43,71.735,483.73,204.56
102.24,147.08,61.833,348.65,445.72
183.63,66.322,127.72,473.73,307.67
231.85,240.82,241.75,205.99,255.72
165.17,86.773,76.394,419.7,272.92
209.81,103.07,101.21,371.1,124.6
231.35,166.22,79.661,399.92,166.61
113.25,204.32,191.4,219.38,84.349
222.19,183.55,161.74,360.2,167.65
245.77,245.37,241.62,259.89,314.32
233.06,160.22,46.238,441.95,149.59
237.23,196.69,153.67,575.57,106.5
29.599,131.57,74.054,553.96,192.82
228.17,192.09,167.34,222.37,361.38
225.84,190.64,175.17,181.87,303.63
51.066,157.1,95.826,470.1,195.98
218.91,186.75,166.67,346.47,187.09
199.25,173.56,153,183.89,169.78
207.82,168.18,146.06,322.61,103.45
254.97,254.97,254.96,295.95,236.92
