R,G,B,x,y
0.11587051930147,0.689312538296568,0.858833933312908,0.6341101109375,0.60241805625
0.625368489583333,0.438558453329248,0.0852882327410129,0.1407858640625,0.73078085
0.171061363868464,0.729736034517973,0.60725732741013,0.5509692875,0.598402195833333
0.293640484579248,0.588465813929739,0.606256778492647,0.5335475,0.517896579166667
0.629612425959967,0.159453750510621,0.629940027573529,0.4997300921875,0.28879195
0.867167687908496,0.0966442121119279,0.137538271037581,0.378233171875,0.30935474375
0.546827742034314,0.791728528390522,0.120112030228758,0.447029896875,0.79844745
0.16377295241013,0.382523233251634,0.766734043096405,0.5873821359375,0.483660020833333
0.547018458946079,0.842150224673202,0.122792828329248,0.461285909375,0.689208852083333
0.894005170036764,0.176250293607026,0.0993775275735292,0.320334625,0.321632427083333
0.121714282066993,0.466668607026144,0.850861915339052,0.6582611,0.529022983333333
0.112271050347222,0.758741536458333,0.610715801164216,0.5895680171875,0.735307097916667
0.707018190870098,0.158508974162581,0.602634574142157,0.4678826125,0.242057497916667
0.719909849877451,0.70946715430964,0.19956601051879,0.4607552703125,0.537393114583333
0.635267629187091,0.774296683517156,0.22701087622549,0.472403296875,0.566282979166667
0.434643931270425,0.144616932189542,0.643111723856209,0.584543509375,0.289887529166667
0.132184053308823,0.500061248978758,0.803992008782679,0.5951605578125,0.518586364583333
0.831256242340686,0.0838494817197711,0.114187321282679,0.3007398828125,0.188436025
0.849940857332515,0.517983775020425,0.112995991625817,0.3181481484375,0.556314822916667
0.193740362030228,0.795374055351307,0.367691865808823,0.52779074375,0.699712133333333
0.37378599877451,0.279083078022876,0.0566194214665031,0.0449454921875,0.812597716666667
0.844850132761437,0.69405895118464,0.118950431474673,0.4233893125,0.551150160416667
0.798329248366012,0.192092933006536,0.28158220996732,0.4491749859375,0.394753954166667
0.859386859170751,0.794952627144607,0.0942577486723854,0.3478872421875,0.73691291875
0.127526960784313,0.418534096711601,0.842488013174019,0.681767640625,0.516158010416667
0.127026118259804,0.451243438521242,0.832280790441176,0.6287304328125,0.514453564583333
0.322418798508987,0.146088107638889,0.644539126327614,0.5952099984375,0.351325497916667
0.200516365400326,0.786664713541666,0.403562142565359,0.5310222703125,0.668071495833333
0.211095269097222,0.234327869689542,0.717767654718137,0.59623156875,0.4319366125
0.279187806372549,0.575802530126634,0.627491600285947,0.53707545,0.515470645833333
0.115410781760621,0.716507697610294,0.850752093545751,0.6561946390625,0.648001491666667
0.327054827920752,0.118277994791666,0.586574959150327,0.63053185625,0.273480108333333
0.699085337520425,0.837788832720588,0.0838377119076795,0.42614244375,0.718589216666667
0.807709226919934,0.432634063521242,0.10973641748366,0.253399346875,0.525443885416667
0.115989417381536,0.548526245915033,0.851002233966502,0.749816146875,0.5959146875
0.115416219873366,0.636813444648693,0.878013531454247,0.6677644734375,0.595322408333333
0.417402216094771,0.2441059155433,0.0652209584354574,0.05014910625,0.596221227083333
0.858964371425653,0.556805683210784,0.114579720690359,0.324803953125,0.571877708333333
0.316439593545752,0.814135557087418,0.250103949652777,0.5026496046875,0.682195429166667
0.156306461907679,0.347016314338235,0.811765612234477,0.7297063484375,0.474892866666667
0.189383182700163,0.153702295241013,0.646083448223039,0.6376067875,0.388947429166667
0.723837545955882,0.200840303308823,0.394475400837418,0.4722866734375,0.394178583333333
0.341229434742647,0.532136003880719,0.0701223703022874,0.4348523640625,0.924868947916667
0.86300750612745,0.593429789624183,0.122963120404412,0.3057607046875,0.59426273125
0.175516505821078,0.209514616523692,0.707264361213235,0.6221740390625,0.42773041875
0.545881140216503,0.828690104166666,0.118483328227124,0.4536146625,0.751805195833333
0,0,0,1.0632506828125,0.6985799625
0.10794167432598,0.647239762050653,0.861543045343137,0.6932042984375,0.636541947916667
0.114204618566176,0.665107664419934,0.807916296466503,0.598788975,0.575663445833333
0.849564542483659,0.0838784977532678,0.133784709456699,0.333759803125,0.220093570833333
0.839565806270424,0.0846786917892155,0.192384063521241,0.3657794578125,0.2294662875
0.808286611519607,0.121491332209967,0.400036471098856,0.4196172796875,0.248150722916667
0.177749489379085,0.385610728145425,0.760876799938725,0.5814039140625,0.48131749375
0.121745736315359,0.512859962214052,0.823430057700163,0.609424090625,0.528577925
0.546280152165033,0.169436951082516,0.626022046058006,0.514013740625,0.138298047916667
0.893965967116012,0.749841592626634,0.112039649714052,0.3398551953125,0.668096585416667
0.759452997344771,0.391506446589052,0.0992092141544115,0.2166009375,0.534839770833333
0.110098217933006,0.700358838848039,0.776459635416666,0.595678275,0.600478116666667
0.184605073018791,0.795143892973856,0.370340979881536,0.5291691046875,0.710835483333333
0.325386016646242,0.810532973345588,0.305437065972222,0.5082227671875,0.651340414583333
0.332408343545752,0.161421657986111,0.676329695159313,0.7741930203125,0.202530233333333
0.598748327716503,0.168204363255719,0.662838899101307,0.513630378125,0.247142360416667
0.541782424428105,0.848013812295751,0.179129799836601,0.4732170359375,0.650324460416667
0.160854307087418,0.309553602430556,0.756812436172385,0.6012651890625,0.46682075
0.828004455167483,0.70852082056781,0.124839486315359,0.4304538359375,0.551820979166667
0.696019748263889,0.598901539522059,0.277407832924836,0.470602575,0.500868752083333
0.739787020016339,0.139621910743464,0.513634957107843,0.4385547515625,0.210344329166667
0.0184920598447712,0.0864782475490195,0.174779488357843,1.000974915625,0.683900145833333
0.731945925245098,0.806105047487744,0.134893331290849,0.4493240765625,0.600078439583333
0.484340175653594,0.177074346405228,0.0499333256740195,0.08128811875,0.430458127083333
0.747736302593954,0.693226383782679,0.183545968647875,0.4551923625,0.532688916666667
0.120115579044117,0.492176598243464,0.824874080882352,0.771499878125,0.574693464583333
0.881192070057189,0.748175934436274,0.0964605800653593,0.3725125609375,0.643159808333333
0.166246808619281,0.245743642769608,0.723712175755719,0.7795701359375,0.415099622916667
0.225193257250817,0.120747497957516,0.591916526245915,0.6447751,0.337364395833333
0.228892795138889,0.313267297283497,0.740982881433823,0.5770213140625,0.453565214583333
0.8802001123366,0.649902752246732,0.107676202512255,0.3638382109375,0.591277870833333
0.493910845588236,0.81978635620915,0.140485791973039,0.4633443609375,0.763492670833333
