id,xs,ys,matches
0,-10.3850980392157,-7.93803921568627,100
1,-4.20520446096654,-3.15910780669145,100
2,101.306671581275,-94.9918908956874,100
3,381.042810098793,-65.1518477863154,100
4,440.462772050401,290.596792668958,100
5,184.08543833581,214.850668647845,100
6,-15.3810395314788,-41.6493411420205,100
7,203.305565932013,-181.567799775869,100
8,451.060390097524,166.457989497374,100
9,341.526123492875,265.180124223602,100
10,115.652126099707,121.024560117302,100
11,-4.28691213999271,-17.3324826831936,100
12,258.31998543866,-211.322533673098,100
13,481.216551221291,260.239518775064,100
14,282.153470919325,250.774108818011,100
15,68.4345724907063,57.7947955390335,100
16,1.47727272727273,-16.9966467958271,100
17,280.216579536968,-237.654592979836,100
18,477.901535005616,227.407338075627,100
19,301.508642883413,254.102243471865,100
20,82.5514598540146,87.3390510948905,100
21,21.76183376817,-41.9526649273202,100
22,295.14451951952,-228.566816816817,100
23,504.909631833395,302.094458906657,100
24,268.308126410835,254.902182091798,100
25,54.4697912852435,47.9370194068107,100
26,-0.228332119446468,9.45083758193736,100
27,69.7772511848341,-63.1808239154211,100
28,342.85960314489,-156.608760763759,100
29,483.482419659735,314.923629489603,100
30,217.055311355311,231.66336996337,100
31,4.16207276736494,-6.8710033076075,100
32,190.615756224452,-174.10182088443,100
33,412.988037383178,68.1072897196262,100
34,393.417005545286,290.485767097967,100
35,148.781318681319,179.420879120879,100
36,-17.3558148013124,-19.0492161866569,100
37,-4.84497257769653,1.75795246800731,100
38,304.201420029895,-218.041479820628,100
39,504.714660667417,288.049118860142,100
40,258.524741506647,245.083456425406,100
41,34.3966337358214,38.7489937797292,100
42,121.728955007257,-120.345065312046,100
43,382.102962962963,-56.8711111111111,100
44,460.053840361446,308.45406626506,100
45,201.603956700261,233.562523329601,100
46,-10.9718414227492,-29.4120044460911,100
47,208.947520810713,-196.698154180239,100
48,439.902648265573,146.618425960463,100
49,352.614173228346,257.020247469066,100
50,117.585250091274,123.618838992333,100
51,-11.7607428987618,-25.1016023306628,100
52,-10,-25,100
53,-10,-25,100
54,-10,-25,100
55,-10,-25,100
