R,G,B,x,y
0.84,0.56,0.12,176.63,281.76
0.11,0.73,0.68,370.36,302.6
0.83,0.48,0.12,172.04,262.54
0.1,0.66,0.8,435.9,332.5
0.88,0.13,0.09,224.91,162.07
0.12,0.53,0.87,434.69,267.24
0.86,0.63,0.12,264.32,257.17
0.88,0.63,0.11,233.51,279.72
0.73,0.17,0.07,109.5,129.87
0.54,0.84,0.12,295.33,334.29
0.86,0.12,0.11,180.73,101.69
0.86,0.32,0.11,165.75,186.99
0.33,0.78,0.4,329.61,290.79
0.27,0.79,0.39,333.69,308.13
0.14,0.34,0.75,514.68,234.94
0.82,0.71,0.1,177.5,374.96
0.11,0.73,0.78,413.07,333.88
0.31,0.11,0.56,412.19,120.94
0.12,0.77,0.73,386.1,328.92
0.84,0.35,0.09,220.34,229.62
0.61,0.17,0.05,83.09,176.82
0.88,0.64,0.11,219.93,289.62
0.37,0.32,0.69,348.82,210.41
0.84,0.76,0.1,268.18,285.07
0.86,0.26,0.13,262.51,206.12
0.83,0.49,0.17,280.49,229.99
0.34,0.79,0.38,328.29,294.11
0.36,0.23,0.69,356.93,195.35
0.11,0.66,0.83,391.35,276.43
0.22,0.16,0.67,485.73,152.4
0.84,0.32,0.09,224.1,224.7
0.3,0.27,0.72,362.9,207.16
0.72,0.47,0.11,117.08,298.45
0.11,0.71,0.85,424.05,314.63
0.88,0.76,0.09,239.77,312.63
0.83,0.78,0.1,269.36,290.91
0.67,0.16,0.58,291.03,82.14
0.85,0.16,0.08,237.15,187.1
0.48,0.21,0.63,339.13,187.95
0.73,0.69,0.21,294.76,253.47
0.8,0.81,0.09,266.92,310.37
0.09,0.67,0.48,382.42,387.86
0.14,0.42,0.79,381.24,238.24
0.24,0.2,0.7,379.88,199
0.19,0.7,0.64,351.47,274.04
0.16,0.52,0.77,366.98,247.27
0.86,0.73,0.12,183.26,351.75
0,0,0,675.16,255.22
0.09,0.18,0.51,574.5,219.3
0.81,0.19,0.26,284.73,188.65
0.58,0.26,0.55,323.91,197.7
0.14,0.42,0.84,462.51,244.61
0.87,0.2,0.08,207.07,175.88
0.32,0.13,0.62,387.29,157.62
0.77,0.77,0.09,227.12,387.81
0.13,0.51,0.86,464.25,264.69
0.83,0.8,0.09,263.22,306.78
0.12,0.53,0.87,437.14,268.42
0.8,0.13,0.43,274.99,126.22
0.84,0.43,0.11,190.5,243.57
0.89,0.76,0.11,219.42,325.83
0.17,0.22,0.72,478.1,192.12
0.33,0.11,0.57,406.93,117.74
0.16,0.17,0.66,426.18,191.44
0.44,0.14,0.54,356.18,41.01
0.84,0.67,0.13,273.05,258.85
0.84,0.33,0.09,221.4,226.03
0.81,0.8,0.09,233.03,370.37
0.9,0.19,0.1,201.04,152.15
0.2,0.69,0.63,350.13,272.43
0.86,0.77,0.09,242.83,320.04
0.31,0.13,0.61,392.49,153.79
0.07,0.17,0.46,586.85,236.62
0.1,0.66,0.83,439.74,319.94
0.89,0.73,0.11,229.06,306.62
0.17,0.23,0.73,464.45,196.81
0.18,0.27,0.74,382.72,215.92
0.86,0.36,0.1,254.56,222.95
0.28,0.16,0.66,382.09,181.48
0.12,0.5,0.86,445.71,263.01
0.55,0.16,0.6,330.84,172.99
0.88,0.67,0.11,232.44,287.84
0.87,0.61,0.12,197.44,289.46
0.87,0.6,0.1,244.17,265.93
0.7,0.6,0.27,300.29,240.89
0.86,0.37,0.11,259.89,222.37
0.87,0.11,0.11,196.16,110.85
0.35,0.11,0.54,405.72,99.18
0.12,0.75,0.44,355.74,373.65
0.78,0.15,0.33,289.97,176.84
0.73,0.73,0.09,220.91,400.97
0.84,0.79,0.08,253.35,317.56
0.86,0.13,0.09,246.15,179.61
0.55,0.16,0.66,342.51,124.33
0.82,0.55,0.13,154.69,291.65
0.52,0.84,0.14,299.76,325.38
0.12,0.7,0.86,408.66,292.58
0.87,0.28,0.1,184.48,182.66
0.85,0.56,0.14,271.84,241.14
0.28,0.78,0.24,321.77,375.82
0.24,0.3,0.74,369.75,214.53
0.87,0.59,0.11,257.88,255.42
0.16,0.33,0.79,485.05,222.95
0.5,0.26,0.62,334.48,198.06
