R,G,B,x,y
0.213833295036764,0.49877800755719,0.376275556576797,0.4265434296875,0.7328169625
0.602557942708333,0.494214460784314,0.189913079554738,0.4061517625,0.351657125
0.699083218443627,0.603974443423202,0.092630540236928,0.5987114375,0.526727114583333
0.683586333231209,0.118525441687091,0.0413380693423202,0.7404421640625,0.505548429166667
0.684752846711601,0.518710043913399,0.109811402165033,0.635942659375,0.516981070833333
0.114943576388889,0.351153045853758,0.493656594669118,0.0473955078125,0.553619014583333
0.61920041870915,0.624545981413398,0.211551853553921,0.5840693296875,0.644914785416667
0.756641378165849,0.7034770092933,0.140401373570261,0.4549156390625,0.433026822916667
0.707012561274509,0.670566457312091,0.144864353553921,0.5204388859375,0.5429839
0.175681295955882,0.504895424836601,0.329646012050653,0.3512133546875,0.652105516666667
0.547542943218954,0.600661751940359,0.256333882250817,0.4784475453125,0.543849483333333
0.656827844158496,0.650325622957516,0.188426776960784,0.427222534375,0.452291658333333
0.62577650122549,0.473906696793301,0.219528773488562,0.348155759375,0.267167466666667
0.361907960580065,0.517032922283497,0.287668275122549,0.502048646875,0.67479148125
0.460109081392974,0.0297641314338235,0.020133425245098,0.7953199703125,0.431148714583333
0.70659437551062,0.238955244076797,0.0618940461601306,0.5141189328125,0.3121518875
0.677025684232026,0.519345141441994,0.0810063061683006,0.5906585078125,0.49512580625
0.0750470026552287,0.46791925806781,0.557845920138889,0.17458193125,0.378847645833333
0.0180077869689542,0.129352596507353,0.216842192606209,0.3541066359375,1.00764945416667
0.680838375714869,0.313355762357026,0.0639875025531045,0.62846484375,0.45232808125
0.48150612745098,0.581707261029412,0.288282475490196,0.407941371875,0.5070529375
0.690881957209967,0.14810537939134,0.0432828584558823,0.635109934375,0.380831727083333
0.66527956495098,0.0633534135008169,0.0273436606413398,0.618474040625,0.228823877083333
0.584958333333333,0.0871834150326796,0.0368328993055555,0.5117890015625,0.154479175
0.707655177696078,0.221911215788399,0.0611484119689542,0.71269809375,0.522542527083333
0.6311796875,0.0810081188725489,0.0350102124183006,0.6170556375,0.310598164583333
0.536284530739379,0.596959060968137,0.215693116830065,0.5224412125,0.636029808333333
0.697267233455882,0.583274126838235,0.120455844056372,0.5112116609375,0.448848302083333
0.203881395526961,0.496371502246732,0.333686619178922,0.32081033125,0.581515466666667
0.396294909109477,0.573226141237745,0.322680989583333,0.3938928484375,0.526601789583333
0.402946282679738,0.56472469873366,0.314869204452614,0.2802240328125,0.318577052083333
0.569695899714052,0.638501582924836,0.322301445057189,0.305915809375,0.2370807625
0.163227111417483,0.488910041360294,0.323056589562908,0.3191779390625,0.528550660416667
0.751885174121732,0.243377757352941,0.0516176981209149,0.462751640625,0.241723754166667
0.739819955065359,0.225340188419117,0.0495838439542483,0.4680421609375,0.231222833333333
0.669099749795751,0.457319406147876,0.0971548330269607,0.6306081171875,0.49906795625
0.47352956495098,0.584101039113562,0.307690806270425,0.4126826890625,0.520360479166667
0.107557725694444,0.495376799938726,0.403539317810458,0.3563066515625,0.696563241666667
0.725971647773692,0.685264948427287,0.149631535947712,0.4527317296875,0.46116311875
0.133213350183823,0.476768573835784,0.345223115808824,0.3386740484375,0.671028447916667
0.0788256229575162,0.422372893688725,0.598032871221405,0.0752906796875,0.438786529166667
0.718146892871732,0.143222975388072,0.0347439363766339,0.5741287484375,0.254170639583333
0.30416339869281,0.565012331495098,0.369939095690359,0.319681159375,0.436686066666667
0.723994332107843,0.211770833333333,0.0904880387050652,0.768131490625,0.613470245833333
0.467332771650327,0.584440997753268,0.313080269607843,0.4137864015625,0.524660914583333
0.622053908803104,0.48835537939134,0.228296415441177,0.34527596875,0.266973541666667
0.378346609477124,0.613061121323529,0.366706622753268,0.3876997328125,0.557810325
